ID|Nationality|Age|LeadTime|LodgingRevenue|OtherRevenue|Channel
4|FRA|60.0|93|240.0|60.0|Agent
8|FRA|32.0|38|535.0|94.0|Agent
12|FRA|58.0|60|292.0|81.0|Agent
14|ESP|42.0|87|327.7|48.0|Direct
16|FRA|68.0|11|437.0|36.0|Agent
17|FRA|72.0|11|455.0|18.0|Agent
19|FRA|24.0|109|174.0|36.0|Agent
24|FRA|32.0|95|144.0|93.0|Agent
27|FRA|64.0|94|240.0|104.5|Agent
31|PRT|39.0|1|1083.5|255.49|Direct
32|PRT|71.0|85|180.6|54.0|Direct
34|PRT|43.0|78|180.6|100.5|Direct
37|DEU|30.0|13|210.0|73.0|Agent
41|ITA|52.0|87|563.1|90.0|Agent
43|FRA|53.0|67|455.7|86.5|Agent
45|ITA|48.0|87|251.1|40.5|Agent
52|ITA|36.0|98|142.8|35.3|Agent
53|ITA|30.0|97|116.0|27.0|Agent
55|PRT|38.0|98|142.8|15.3|Agent
57|ITA|40.0|98|147.9|47.6|Agent
61|ITA|39.0|98|147.9|30.6|Agent
63|ITA|32.0|97|168.0|18.0|Agent
67|FRA|50.0|96|300.0|284.97|Agent
72|FRA|69.0|72|515.34|292.5|Direct
74|FRA|49.0|72|515.34|301.5|Direct
76|FRA|70.0|70|321.52|623.1|Direct
77|FRA|34.0|70|875.16|1189.2|Direct
78|FRA|28.0|70|875.16|1201.7|Direct
79|FRA|66.0|70|291.72|749.9|Direct
80|FRA|72.0|97|192.0|50.0|Agent
84|PRT|28.0|103|770.1|957.9|Direct
87|ESP|39.0|103|256.7|322.3|Direct
90|ESP|42.0|103|653.4|759.6|Direct
92|ESP|68.0|49|406.05|381.5|Agent
94|ESP|60.0|58|485.0|101.0|Agent
96|ESP|71.0|49|406.05|361.5|Agent
98|ESP|62.0|58|485.0|134.5|Agent
102|FRA|61.0|97|192.0|67.5|Agent
103|ITA|67.0|0|331.0|44.0|Direct
107|ESP|63.0|41|318.99|65.0|Direct
108|FRA|45.0|41|318.99|43.0|Direct
110|ESP|66.0|41|336.99|21.5|Direct
112|ESP|56.0|69|195.6|44.0|Agent
115|ESP|37.0|59|325.05|107.0|Direct
117|FRA|43.0|1|508.0|346.5|Agent
122|ESP|40.0|69|242.55|38.0|Direct
123|PRT|41.0|2|404.5|473.3|Direct
126|ESP|45.0|69|242.55|48.0|Direct
127|PRT|44.0|1|376.0|224.0|Direct
131|FRA|51.0|93|144.0|40.5|Agent
133|ESP|43.0|57|274.5|47.0|Direct
135|PRT|45.0|0|165.0|24.0|Direct
138|FRA|72.0|97|192.0|50.0|Agent
139|FRA|66.0|95|192.0|50.0|Agent
143|FRA|59.0|97|192.0|54.5|Agent
145|FRA|61.0|99|144.0|52.5|Agent
147|ESP|36.0|43|279.0|42.0|Direct
155|PRT|60.0|10|249.1|173.5|Agent
158|FRA|61.0|0|192.0|50.0|Agent
159|PRT|46.0|72|659.34|491.0|Direct
165|FRA|67.0|93|192.0|104.0|Agent
167|DEU|60.0|72|464.0|290.0|Agent
169|ESP|53.0|63|410.0|86.0|Agent
171|ITA|55.0|49|276.0|64.0|Agent
174|PRT|55.0|49|232.0|234.5|Agent
175|ITA|59.0|49|232.0|53.5|Agent
178|ITA|34.0|49|232.0|59.5|Agent
180|ITA|38.0|49|232.0|57.0|Agent
182|DEU|67.0|46|114.0|28.0|Agent
184|ITA|58.0|81|391.2|52.0|Agent
186|ITA|55.0|69|391.2|56.5|Agent
188|FRA|72.0|97|192.0|52.0|Agent
190|PRT|53.0|49|232.0|95.5|Agent
191|ITA|35.0|7|232.0|57.0|Agent
193|FRA|69.0|84|174.0|242.0|Agent
195|FRA|33.0|55|168.0|67.0|Agent
200|FRA|33.0|54|168.0|20.0|Agent
204|PRT|60.0|49|232.0|52.0|Agent
206|FRA|53.0|60|427.05|64.0|Agent
208|FRA|73.0|97|192.0|55.0|Agent
212|PRT|38.0|0|95.0|2.0|Direct
214|DEU|53.0|75|687.65|196.5|Direct
218|ITA|57.0|50|174.0|43.0|Agent
220|ESP|41.0|29|138.0|211.0|Agent
224|ITA|41.0|50|174.0|40.0|Agent
